company_name_canonical,n_2024,n_2026,n_ai_2024,n_ai_2026,ai_rate_2024,ai_rate_2026,delta
The Walt Disney Company,51.0,34.0,0.0,10.0,0.0,0.29411764705882354,0.29411764705882354
AMD,25.0,57.0,4.0,9.0,0.16,0.15789473684210525,-0.002105263157894749
Experis,44.0,34.0,2.0,6.0,0.045454545454545456,0.17647058823529413,0.1310160427807487
Akkodis,44.0,34.0,4.0,5.0,0.09090909090909091,0.14705882352941177,0.05614973262032086
"Conch Technologies, Inc",68.0,9.0,2.0,5.0,0.029411764705882353,0.5555555555555556,0.5261437908496732
Honeywell,44.0,32.0,1.0,7.0,0.022727272727272728,0.21875,0.19602272727272727
Abbott,55.0,21.0,1.0,1.0,0.01818181818181818,0.047619047619047616,0.029437229437229435
Intuit,17.0,59.0,2.0,38.0,0.11764705882352941,0.6440677966101694,0.52642073778664
Infosys,42.0,31.0,1.0,8.0,0.023809523809523808,0.25806451612903225,0.23425499231950844
CGI,23.0,50.0,0.0,10.0,0.0,0.2,0.2
KPMG US,62.0,10.0,0.0,9.0,0.0,0.9,0.9
Snowflake,38.0,31.0,0.0,13.0,0.0,0.41935483870967744,0.41935483870967744
FIS,60.0,9.0,0.0,3.0,0.0,0.3333333333333333,0.3333333333333333
Synechron,29.0,39.0,0.0,11.0,0.0,0.28205128205128205,0.28205128205128205
