company,period,is_aggregator,n_posts,mean_pairwise_cos
Commit: AI Career Agents for Developers,2024,False,5,0.6155709028244019
CommonSpirit Health,2026,False,5,0.6999101638793945
Compunnel Inc.,2024,False,48,0.5559984445571899
Compunnel Inc.,2026,False,18,0.6099450588226318
Comrise,2026,False,6,0.5842705368995667
"Conch Technologies, Inc",2024,False,59,0.5177904367446899
"Conch Technologies, Inc",2026,True,10,0.6039178371429443
Conexess Group,2026,False,9,0.5727806091308594
Confidential,2024,False,10,0.5786442160606384
ConstructConnect,2026,False,6,0.6879597902297974
ConsultAdd Inc,2024,False,8,0.5875859260559082
ConsultNet,2024,False,11,0.5169106125831604
ConsultNet Technology Services and Solutions,2026,False,15,0.6361687779426575
CoreWeave,2026,False,39,0.6960733532905579
Cornelis Networks,2026,False,5,0.8245484232902527
Counsel Health,2026,False,7,0.7196098566055298
Cox Automotive Inc.,2024,False,7,0.649952232837677
Cox Automotive Inc.,2026,False,10,0.6473827958106995
Crate and Barrel,2026,False,5,0.820451557636261
Creative Financial Staffing (CFS),2024,False,8,0.5666430592536926
Credit Genie,2026,False,6,0.692407488822937
Creospan Inc.,2026,False,5,0.5913463234901428
Crestron Electronics,2026,False,6,0.7607709765434265
Crossing Hurdles,2026,False,16,0.6694318056106567
CrowdDoing,2024,False,33,0.5799680352210999
CrowdPlat,2026,False,5,0.6638714075088501
CrowdStrike,2026,False,22,0.8090171813964844
Crowe,2026,False,7,0.6685133576393127
Crunchyroll,2026,False,6,0.7000362277030945
Crusoe,2024,False,8,0.6936467289924622
Crusoe,2026,False,18,0.7758967876434326
Crystal Equation Corporation,2024,False,7,0.4783749282360077
"Curative AI, Inc.",2026,False,9,0.749596357345581
Curtiss-Wright Corporation,2024,False,10,0.5896202325820923
Curtiss-Wright Corporation,2026,False,6,0.5767795443534851
CyanStar Technologies,2024,False,5,0.5813100934028625
Cyber Sphere LLC,2026,True,8,0.6234604716300964
CyberArk,2026,False,21,0.79444420337677
CyberCoders,2024,True,97,0.5059614181518555
CyberCoders,2026,True,97,0.5737358927726746
Cyient,2026,False,7,0.7431988716125488
Cymertek Corporation,2024,False,6,0.6951438784599304
Cynet Systems,2026,True,29,0.6859579086303711
Cyngn,2026,False,5,0.7900387048721313
Cypress HCM,2024,False,9,0.575350821018219
Cypress HCM,2026,False,13,0.5884060263633728
DAT Freight & Analytics,2026,False,8,0.7631549835205078
DATAEXL INFORMATION LLC,2026,False,6,0.5537303686141968
DApp360 Workforce,2024,False,15,0.6412690877914429
DCS Corp,2024,False,6,0.641800045967102
DCode Talent,2026,True,6,0.6603181958198547
DISCO,2026,False,5,0.8257530331611633
DLM Professional,2024,False,7,0.5629100799560547
DPR Construction,2026,False,7,0.6742945909500122
DRC Systems USA LLC,2026,True,6,0.8175679445266724
DRW,2024,False,7,0.5687724351882935
DRW,2026,False,11,0.7557080388069153
DSJ Global,2024,False,5,0.4689691960811615
DXC Technology,2026,False,6,0.535793662071228
DZYNE Technologies,2026,False,5,0.6927305459976196
Daikin Applied Americas,2024,False,6,0.671783983707428
Damco Solutions,2024,False,12,0.499454140663147
Data Bridge Consultants,2024,False,5,0.6039263010025024
DataAnnotation,2024,True,9,0.9603621363639832
DataAnnotation,2026,True,26,0.8544187545776367
Databricks,2024,False,14,0.6574141979217529
Databricks,2026,False,52,0.6255272626876831
Datadog,2024,False,6,0.5998777151107788
Datadog,2026,False,12,0.6159091591835022
David Joseph & Company,2026,False,9,0.6967384815216064
DeWinter Group,2026,False,17,0.649465024471283
Decagon,2026,False,8,0.8421912789344788
Dell Technologies,2026,False,14,0.6703004837036133
Deloitte,2024,False,22,0.6763293743133545
Deloitte,2026,False,43,0.6503284573554993
Delta Air Lines,2026,False,7,0.6649767756462097
Delta Dental Ins.,2026,False,6,0.6445332765579224
Delta Electronics Americas,2026,False,11,0.6187876462936401
Deluxe,2026,False,5,0.6673659086227417
"Denken Solutions, Inc.",2026,False,5,0.7428562045097351
Deutsche Bank,2026,False,10,0.6628649234771729
Dexian,2024,False,12,0.5373322367668152
Dexian,2026,False,26,0.6208963990211487
Dexian DISYS,2026,True,13,0.7223777174949646
Dezign Concepts,2024,False,16,0.6374805569648743
Dice,2024,True,75,0.5168620944023132
Digipulse Technologies,2026,True,10,0.6824794411659241
Digital Force Technologies,2024,False,5,0.6857659220695496
Dimension Consulting,2026,True,5,0.4970254898071289
Discord,2026,False,11,0.6247767806053162
Discover Financial Services,2024,False,92,0.6787152290344238
Ditto,2026,False,5,0.6167367696762085
DivIHN Integration Inc,2024,False,7,0.5552876591682434
Diverse Lynx,2024,False,91,0.5237504243850708
Diversity Resource Staffing Inc.,2024,False,8,0.5959073305130005
"Divit Technologies, Inc.",2026,False,8,0.7655653357505798
Dminds Solutions Inc.,2026,False,5,0.6047745943069458
"Docker, Inc",2026,False,11,0.7907692790031433
Docusign,2026,False,23,0.7056507468223572
Dollar General,2024,False,8,0.6455405354499817
"Donato Technologies, Inc.",2024,False,24,0.57735276222229
DoorDash,2026,False,28,0.5988182425498962
DoubleVerify,2026,False,7,0.5423264503479004
Dover Networks LLC,2026,False,5,0.7830008864402771
Draper,2024,False,17,0.6124054789543152
Draper,2026,False,7,0.7729506492614746
Droisys,2026,False,5,0.5002235770225525
Duolingo,2026,False,8,0.6619603037834167
E-IT,2024,False,7,0.5650354623794556
E-Solutions,2026,False,7,0.5714620351791382
ECS,2024,False,7,0.5416861176490784
ECS,2026,False,17,0.6975147128105164
ELEVI Associates,2024,False,5,0.6483505964279175
EPAM Systems,2026,False,8,0.6227487921714783
EPITEC,2024,False,16,0.5482800006866455
EPITEC,2026,False,23,0.62364661693573
ESPN,2024,False,31,0.6490275263786316
ETAP Software,2026,False,6,0.7328714728355408
EVONA,2024,False,26,0.6004422307014465
EVONA,2026,False,16,0.6144200563430786
Early Warning®,2026,False,28,0.7217042446136475
Eaton,2026,False,14,0.5768261551856995
"Eccalon, LLC",2026,False,7,0.6832876801490784
EchoStar Corporation,2026,False,9,0.6922158598899841
Eclaro,2024,False,7,0.6042541265487671
Eclaro,2026,False,8,0.5984155535697937
EdgeGlobal LLC,2024,False,5,0.49047160148620605
"Edgewater Federal Solutions, Inc.",2024,False,8,0.6670251488685608
Editech Staffing,2024,False,5,0.6155321002006531
Ehub Global Inc,2024,False,5,0.47174710035324097
Eidra,2026,False,5,0.7546941041946411
Eightfold AI,2026,False,6,0.7525127530097961
Ekodus,2024,False,15,0.541120707988739
Elbit Systems of America,2026,False,5,0.6025887727737427
Elder Research,2026,False,5,0.7525264620780945
Electric Power Engineers,2026,False,10,0.6722061038017273
Electronic Arts (EA),2026,False,7,0.7324569225311279
"Elegant Enterprise-Wide Solutions, Inc.",2024,False,5,0.6451589465141296
Eliassen Group,2024,False,18,0.6120954751968384
Eliassen Group,2026,False,18,0.5743628144264221
Elios Talent,2026,False,5,0.7311398386955261
Emerson,2026,False,10,0.6175141334533691
Emonics LLC,2026,False,8,0.6181253790855408
Empower Professionals Inc,2024,False,9,0.5307532548904419
Empower Professionals Inc,2026,True,8,0.6229328513145447
Energy Jobline,2024,False,71,0.45968878269195557
Enexus Global Inc.,2024,False,11,0.6687238812446594
Enexus Global Inc.,2026,True,7,0.7237970232963562
Enfabrica,2024,False,5,0.6174959540367126
Enlighten,2026,False,12,0.7678880095481873
Entegee,2024,False,7,0.4154301583766937
Entegee,2026,False,6,0.535313069820404
Envision Technology Solutions,2026,False,12,0.6248255372047424
Epic Games,2024,False,5,0.575230062007904
Epsilon,2026,False,5,0.6098896265029907
Equifax,2024,False,5,0.7098881602287292
Equifax,2026,False,22,0.6554872989654541
Erias Ventures,2026,False,31,0.7408829927444458
Ernst & Young,2026,False,12,0.6433055996894836
Esri,2026,False,57,0.655549943447113
Etsy,2026,False,5,0.6416013836860657
EvenUp,2026,False,8,0.6753167510032654
EverWatch,2026,False,5,0.7752680778503418
"Everest Consultants, Inc.",2024,False,6,0.6323750019073486
ExaTech Inc,2024,False,8,0.5632359981536865
Excelon Solutions,2026,False,7,0.5524303913116455
Executive Staff Recruiters / ESR Healthcare,2024,False,7,0.6330429315567017
Exelon,2026,False,5,0.774234414100647
Expedia Group,2026,False,50,0.7677228450775146
Expedite Talent Solutions,2026,False,5,0.639252781867981
Experfy,2024,False,37,0.6239460706710815
Experient Group,2024,False,8,0.6648998260498047
Experis,2024,True,44,0.5022585988044739
Experis,2026,True,38,0.561829686164856
Extend Information Systems Inc.,2024,False,55,0.5637666583061218
F5,2026,False,10,0.739069938659668
FANTOM CORPORATION,2026,False,9,0.7303557991981506
FIS,2024,False,32,0.698530912399292
FIS,2024,True,23,0.6731672883033752
FIS,2026,False,6,0.7458234429359436
FIS Global,2024,True,11,0.6908268928527832
FOTOMILL STUDIOS LIMITED,2024,False,5,0.7405083775520325
FOX Tech,2026,False,7,0.6917809247970581
FTI - Frontier Technology Inc,2024,False,7,0.7653411030769348
FanDuel,2024,False,5,0.5995433926582336
FanDuel,2026,False,9,0.6757747530937195
Fanatics,2024,False,5,0.48874035477638245
Fanatics,2026,False,7,0.619602382183075
