metro_area,period_group,archetype_name,labeled_n,share_of_metro_period
San Diego Metro,2024,Large Employer Data Platforms,2,0.00796812749003984
San Diego Metro,2026,Enterprise Application Support,51,0.3248407643312102
San Diego Metro,2026,Embedded Firmware Systems,44,0.2802547770700637
San Diego Metro,2026,AI LLM Platforms,25,0.1592356687898089
San Diego Metro,2026,Cloud DevOps Infrastructure,16,0.10191082802547771
San Diego Metro,2026,Java Dotnet Web Services,9,0.05732484076433121
San Diego Metro,2026,Defense Clearance Systems,6,0.03821656050955414
San Diego Metro,2026,Product Backend Engineering,6,0.03821656050955414
San Francisco Bay Area,2024,Enterprise Application Support,383,0.24133585381222433
San Francisco Bay Area,2024,Product Backend Engineering,340,0.2142407057340895
San Francisco Bay Area,2024,Embedded Firmware Systems,245,0.1543793320730939
San Francisco Bay Area,2024,Java Dotnet Web Services,223,0.1405166981726528
San Francisco Bay Area,2024,Cloud DevOps Infrastructure,167,0.10522999369880277
San Francisco Bay Area,2024,AI LLM Platforms,147,0.09262759924385633
San Francisco Bay Area,2024,Large Employer Data Platforms,62,0.039067422810333964
San Francisco Bay Area,2024,Defense Clearance Systems,20,0.01260239445494644
San Francisco Bay Area,2026,Product Backend Engineering,458,0.2909783989834816
San Francisco Bay Area,2026,AI LLM Platforms,391,0.24841168996188057
San Francisco Bay Area,2026,Enterprise Application Support,185,0.11753494282083862
San Francisco Bay Area,2026,Cloud DevOps Infrastructure,154,0.09783989834815757
San Francisco Bay Area,2026,Embedded Firmware Systems,146,0.09275730622617535
San Francisco Bay Area,2026,Large Employer Data Platforms,129,0.08195679796696315
San Francisco Bay Area,2026,Java Dotnet Web Services,108,0.06861499364675985
San Francisco Bay Area,2026,Defense Clearance Systems,3,0.0019059720457433292
Seattle Metro,2024,Enterprise Application Support,172,0.2419127988748242
Seattle Metro,2024,Embedded Firmware Systems,153,0.21518987341772153
Seattle Metro,2024,Product Backend Engineering,125,0.17580872011251758
Seattle Metro,2024,Java Dotnet Web Services,93,0.1308016877637131
Seattle Metro,2024,Cloud DevOps Infrastructure,64,0.090014064697609
Seattle Metro,2024,Large Employer Data Platforms,64,0.090014064697609
Seattle Metro,2024,AI LLM Platforms,29,0.040787623066104076
Seattle Metro,2024,Defense Clearance Systems,11,0.015471167369901548
Seattle Metro,2026,AI LLM Platforms,137,0.2057057057057057
Seattle Metro,2026,Product Backend Engineering,109,0.16366366366366367
Seattle Metro,2026,Large Employer Data Platforms,96,0.14414414414414414
Seattle Metro,2026,Embedded Firmware Systems,94,0.14114114114114115
Seattle Metro,2026,Enterprise Application Support,91,0.13663663663663664
Seattle Metro,2026,Cloud DevOps Infrastructure,70,0.10510510510510511
Seattle Metro,2026,Java Dotnet Web Services,59,0.08858858858858859
