period,company_name_canonical,n_postings,mean_pairwise_cosine,median_pairwise_cosine,saturation_flag
2026,Draper,16,0.2872641842862087,0.21231040304515855,False
2026,Saronic Technologies,16,0.28385991175050995,0.2522446587586072,False
2026,U.S. Bank,22,0.2804674697173915,0.27210010418556846,False
2026,T-Mobile,16,0.27794266973609655,0.23209057423249543,False
2026,a Global Financial Institution,17,0.2741827548082872,0.11026244234949868,False
2026,VIZIO,17,0.2723900679716465,0.2621071705232578,False
2026,Early Warning®,21,0.26629602333164765,0.17558730928297056,False
2026,Alignerr,99,0.2562687985475992,0.23594912716343866,False
2026,Insulet Corporation,21,0.2531521135992208,0.16458869216642907,False
2026,PricewaterhouseCoopers,16,0.242526319333565,0.2219394109246483,False
2026,PNC,75,0.24165664162986022,0.21071604176390468,False
2026,Collins Aerospace,30,0.24014531111142662,0.22867433592376632,False
2026,Raytheon,74,0.2331733945421332,0.21513179625022136,False
2026,Erias Ventures,25,0.23162080818182473,0.1602888940533786,False
2026,Visa,36,0.23161121005822013,0.17203357397670602,False
2026,BLUE ORIGIN,50,0.22340820342010811,0.21276140412611694,False
2026,CyberArk,17,0.2220650503641735,0.13188104432184608,False
2026,Meta,25,0.2201438383690693,0.12269801882604914,False
2026,General Dynamics Mission Systems,39,0.21398899259833012,0.18281785707388373,False
2026,ConsultNet Technology Services and Solutions,16,0.20804374797315137,0.18450746570442186,False
2026,Reflexive Concepts,16,0.20800853599642066,0.14382098386316444,False
2026,Xometry,18,0.20603973043328444,0.15298279790643582,False
2026,Boeing,62,0.2051249835638436,0.17888995855366216,False
2026,Walmart,145,0.20464738788553086,0.19128112164929512,False
2026,"Mission Technologies, a division of HII",23,0.2017986094244913,0.13869091893821173,False
2026,Intuit,58,0.20147828039953983,0.1421979692129172,False
2026,L3Harris Technologies,34,0.20100925253190122,0.16824717661962396,False
2026,Expedia Group,39,0.20013244289944593,0.18132441099416927,False
2026,Citigroup,52,0.19967820895916963,0.16287684261143018,False
2026,GEICO,43,0.19570397172916243,0.15873131792027395,False
2026,MetroStar,28,0.19397813219409688,0.11591401577318955,False
2026,Lam Research,25,0.1923273802020521,0.10827889338697835,False
2026,Ahold Delhaize USA,24,0.1922066030823941,0.115789920144096,False
2026,Google,466,0.18943666130333675,0.12121251886799805,False
2026,Dell Technologies,16,0.18895186841778805,0.147211804924208,False
2026,B4Corp,19,0.18713328103142224,0.11654656305910471,False
2026,SpaceX,92,0.18673897503024153,0.15338235869180564,False
2026,Fanatics,19,0.18130379064255583,0.15563862377796084,False
2026,Infosys,31,0.17979736485928588,0.14877866685980237,False
2026,Workday,33,0.17831615537238443,0.12767083934242646,False
2026,Hewlett Packard Enterprise,16,0.1755105649720901,0.14768214297979756,False
2026,NetApp,28,0.17501718557809773,0.13059589110532943,False
2026,StubHub,24,0.1744951971662676,0.1263321071368024,False
2026,Microsoft AI,51,0.1736744224751939,0.15170416456590136,False
2026,Docusign,23,0.17360529796721202,0.15884434445347553,False
2026,YO IT Consulting,24,0.17290526176775836,0.09130940007198302,False
2026,ManTech,28,0.1720022203174155,0.11882495088878178,False
2026,Chewy,21,0.17143020545981585,0.13775574779172778,False
2026,BNY,31,0.166087792633209,0.14918153656091654,False
2026,Wells Fargo,168,0.1656964586294251,0.1444567246686062,False
2026,"The Swift Group, LLC",17,0.16414749633422504,0.14168194869542894,False
2026,Thomson Reuters,21,0.16376092974401177,0.13220814566138256,False
2026,Honeywell,32,0.1636382819837846,0.1213255782329056,False
2026,WHOOP,24,0.1632054623665779,0.12981869811133223,False
2026,Scale AI,26,0.16301094813023653,0.1251935238897644,False
2026,Torc Robotics,21,0.16197031116124447,0.12151223694128221,False
2026,Northrop Grumman,61,0.161533196751011,0.14088991612110408,False
2026,Harvey,16,0.16101568455078755,0.10106716913971202,False
2026,CrowdStrike,21,0.16095216885431643,0.11057623325979271,False
2026,Booz Allen Hamilton,193,0.16060565366148682,0.1282774229797548,False
2026,CoreWeave,34,0.16059358222222964,0.14403311653483306,False
2026,Veeva Systems,16,0.160042838097649,0.11188070673296963,False
2026,Ledgent Technology,21,0.15980337626573574,0.12757176713246277,False
2026,Cloudflare,24,0.15938486879211305,0.14475397395680456,False
2026,Riot Games,17,0.159144591813939,0.13598723346013986,False
2026,Oracle,28,0.15905526021808383,0.13914775440413407,False
2026,ICF,17,0.15842767838759933,0.1312758013326512,False
2026,Rippling,34,0.15800532279451615,0.1263127732386338,False
2026,Zachary Piper Solutions,32,0.15778562834128826,0.12238809153034957,False
2026,SoFi,36,0.15772777104919297,0.12879142148953826,False
2026,CGI,50,0.15729003143526996,0.13494690592059985,False
2026,Raas Infotek,21,0.15697972546028735,0.11259510512311714,False
2026,JPMorgan Chase & Co.,389,0.15371660338619217,0.12620872361556384,False
2026,PayPal,106,0.1531548377124966,0.11406628712492815,False
2026,Qualcomm,109,0.1526238964170276,0.12993167149558732,False
2026,SoTalent,16,0.15092818449239417,0.13339837531829052,False
2026,Stefanini Group,17,0.14775183076466272,0.1178698815178648,False
2026,Deloitte,36,0.14737134290167622,0.11576209499025779,False
2026,Nuro,16,0.14681939319787687,0.09817484697890422,False
